명사,분류
mail,일반명사
Uncle Vernon,인물
Harry,인물
Dudley,인물
things,일반명사
stick,일반명사
way,일반명사
hall,일반명사
one,일반명사
Mr,일반명사
Potter,일반명사
Smallest Bedroom,기관/단체
Privet,일반명사
Drive,일반명사
cry,일반명사
Uncle Vernon,인물
leapt,일반명사
seat,일반명사
hall,일반명사
Harry,인물
Uncle Vernon,인물
Dudley,인물
ground,일반명사
letter,일반명사
fact,일반명사
Harry,인물
Uncle Vernon,인물
neck,일반명사
behind,일반명사
minute,일반명사
fighting,일반명사
everyone,일반명사
lot,일반명사
Smelting,일반명사
stick,일반명사
Uncle Vernon,인물
breath,일반명사
Harry,인물
letter,일반명사
hand,일반명사
Go,일반명사
cupboard,일반명사
bedroom,일반명사
Harry,기관/단체
Dudley,인물
Harry,인물
round,일반명사
room,일반명사
Someone,인물
cupboard,일반명사
letter,일반명사
meant,일반명사
try,일반명사
time,일반명사
fail,일반명사
plan,일반명사
alarm,일반명사
clock,일반명사
rang,일반명사
clock,일반명사
morning,일반명사
Harry,인물
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Dursleys,기관/단체
downstairs,일반명사
lights,일반명사
postman,일반명사
corner,일반명사
Privet Drive,기관/단체
letters,일반명사
number,일반명사
heart,일반명사
dark,일반명사
hall,일반명사
door,일반명사
AAAAARRRGH,일반명사
Harry,인물
air,일반명사
trodden,일반명사
something,일반명사
doormat,일반명사
something,일반명사
Lights,인물
upstairs,일반명사
horror,일반명사
Harry,인물
something,일반명사
uncle,일반명사
face,일반명사
Uncle Vernon,인물
foot,일반명사
door,일반명사
sleeping,일반명사
bag,일반명사
Harry,인물
Harry,기관/단체
hour,일반명사
cup,일반명사
tea,일반명사
Harry,인물
kitchen,일반명사
time,일반명사
mail,일반명사
Uncle Vernon,인물
lap,일반명사
Harry,인물
letters,일반명사
ink,일반명사
Uncle Vernon,인물
letters,일반명사
pieces,일반명사
eyes,일반명사
Uncle Vernon,인물
didn,일반명사
day,일반명사
home,일반명사
mail,일반명사
slot,일반명사
See,일반명사
Aunt Petunia,인물
mouthful,일반명사
nails,일반명사
ll,일반명사
work,일반명사
Oh,일반명사
peoples,일반명사
minds,일반명사
ways,일반명사
Petunia,지명(국가/도시)
Uncle Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Vernon,일반명사
nail,일반명사
piece,일반명사
fruitcake,일반명사
Aunt Petunia,인물
Friday,일반명사
twelve,일반명사
letters,일반명사
Harry,인물
mail,일반명사
slot,일반명사
door,일반명사
sides,일반명사
window,일반명사
downstairs,일반명사
bathroom,일반명사
Uncle Vernon,인물
home,일반명사
letters,일반명사
hammer,일반명사
nails,일반명사
cracks,일반명사
front,일반명사
doors,일반명사
one,일반명사
Tiptoe,일반명사
Tulips,기관/단체
noises,일반명사
Saturday,일반명사
things,일반명사
hand,일반명사
letters,일반명사
Harry,인물
way,일반명사
house,일반명사
dozen,일반명사
eggs,일반명사
milkman,일반명사
Aunt Petunia,인물
living,일반명사
room,일반명사
window,일반명사
Uncle Vernon,인물
telephone,일반명사
post,일반명사
office,일반명사
dairy,일반명사
someone,일반명사
Aunt Petunia,인물
letters,일반명사
food,일반명사
processor,일반명사
earth,일반명사
Dudley,인물
Harry,인물
amazement,일반명사
Sunday,일반명사
morning,일반명사
Uncle Vernon,인물
breakfast,일반명사
ill,일반명사
post,일반명사
Sundays,지명(국가/도시)
marmalade,일반명사
newspapers,일반명사
damn,일반명사
letters,일반명사
today,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
kitchen,일반명사
chimney,일반명사
back,일반명사
head,일반명사
moment,일반명사
thirty,일반명사
forty,일반명사
letters,일반명사
fireplace,일반명사
bullets,일반명사
Dursleys,기관/단체
Harry,인물
air,일반명사
Uncle Vernon,인물
Harry,인물
waist,일반명사
hall,일반명사
Aunt Petunia,인물
Dudley,인물
arms,일반명사
Uncle Vernon,인물
door,일반명사
shut,일반명사
letters,일반명사
room,일반명사
walls,일반명사
floor,일반명사
Uncle Vernon,인물
calmly,일반명사
tufts,일반명사
mustache,일반명사
time,일반명사
minutes,일반명사
Just,일반명사
clothes,일반명사
arguments,일반명사
mustache,일반명사
one,일반명사
argue,일반명사
minutes,일반명사
way,일반명사
doors,일반명사
car,일반명사
highway,일반명사
Dudley,인물
seat,일반명사
father,일반명사
head,일반명사
television,일반명사
VCR,기관/단체
computer,일반명사
sports,일반명사
bag,일반명사
Aunt Petunia,인물
didn,일반명사
dare,일반명사
Uncle Vernon,인물
turn,일반명사
drive,일반명사
direction,일반명사
while,일반명사
Shake,인물
em,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
stop,일반명사
day,일반명사
Dudley,인물
day,일반명사
life,일반명사
television,일반명사
programs,일반명사
alien,일반명사
computer,일반명사
Uncle Vernon,인물
hotel,일반명사
outskirts,일반명사
city,일반명사
Dudley,인물
Harry,인물
room,일반명사
beds,일반명사
damp,일반명사
sheets,일반명사
Dudley,인물
Harry,인물
awake,일반명사
windowsill,일반명사
lights,일반명사
cars,일반명사
cornflakes,일반명사
cold,일반명사
tomatoes,일반명사
toast,일반명사
breakfast,일반명사
day,일반명사
owner,일반명사
hotel,일반명사
table,일반명사
Scuse,일반명사
Mr. H. Potter,인물
front,일반명사
letter,일반명사
ink,일반명사
address,일반명사
Mr. H. Potter,인물
Room,일반명사
Railview,일반명사
Hotel,일반명사
Cokeworth,일반명사
Harry,인물
grab,일반명사
letter,일반명사
Uncle Vernon,인물
hand,일반명사
way,일반명사
woman,일반명사
Uncle Vernon,인물
dining,일반명사
room,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Wouldn,일반명사
home,일반명사
Aunt Petunia,인물
hours,일반명사
Uncle Vernon,인물
didn,일반명사
none,일반명사
middle,일반명사
forest,일반명사
head,일반명사
car,일반명사
thing,일반명사
middle,일반명사
field,일반명사
suspension,일반명사
bridge,일반명사
top,일반명사
multilevel,일반명사
parking,일반명사
garage,일반명사
Daddy,인물
Dudley,인물
Aunt Petunia,인물
afternoon,일반명사
Uncle Vernon,인물
coast,일반명사
car,일반명사
Great,인물
beat,일반명사
roof,일반명사
car,일반명사
Dudley,인물
Monday,일반명사
mother,일반명사
Great Humberto,기관/단체
tonight,일반명사
Monday,일반명사
Harry,인물
something,일반명사
Monday,일반명사
Dudley,지명(국가/도시)
days,일반명사
week,일반명사
television,일반명사
tomorrow,일반명사
Tuesday,일반명사
Harry,인물
birthday,일반명사
course,일반명사
birthdays,일반명사
year,일반명사
Dursleys,기관/단체
coat,일반명사
hanger,일반명사
pair,일반명사
Uncle Vernon,인물
socks,일반명사
day,일반명사
Uncle Vernon,인물
package,일반명사
didn,일반명사
answer,일반명사
Aunt Petunia,인물
bought,일반명사
place,일반명사
Come,기관/단체
Everyone,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
car,일반명사
Uncle Vernon,인물
rock,일반명사
way,일반명사
sea,일반명사
top,일반명사
rock,일반명사
shack,일반명사
thing,일반명사
television,일반명사
Storm,인물
forecast,일반명사
tonight,일반명사
Uncle Vernon,인물
hands,일반명사
gentleman,일반명사
boat,일반명사
toothless,일반명사
man,일반명사
grin,일반명사
rowboat,일반명사
bobbing,일반명사
water,일반명사
rations,일반명사
Uncle Vernon,인물
boat,일반명사
Icy,인물
sea,일반명사
spray,일반명사
rain,일반명사
necks,일반명사
wind,일반명사
hours,일반명사
rock,일반명사
Uncle Vernon,인물
way,일반명사
house,일반명사
inside,일반명사
seaweed,일반명사
wind,일반명사
gaps,일반명사
wooden,일반명사
walls,일반명사
fireplace,일반명사
rooms,일반명사
Uncle Vernon,인물
rations,일반명사
bag,일반명사
chips,일반명사
bananas,일반명사
fire,일반명사
chip,일반명사
bags,일반명사
Could,일반명사
letters,일반명사
mood,일반명사
nobody,일반명사
chance,일반명사
storm,일반명사
mail,일반명사
Harry,인물
thought,일반명사
didn,일반명사
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
night,일반명사
storm,일반명사
Spray,일반명사
waves,일반명사
walls,일반명사
hut,일반명사
wind,일반명사
windows,일반명사
Aunt Petunia,인물
blankets,일반명사
room,일반명사
bed,일반명사
Dudley,인물
sofa,일반명사
Uncle Vernon,인물
lumpy,일반명사
door,일반명사
Harry,인물
bit,일반명사
floor,일반명사
blanket,일반명사
storm,일반명사
night,일반명사
Harry,인물
sleep,일반명사
stomach,일반명사
hunger,일반명사
Dudley,인물
snores,일반명사
rolls,일반명사
thunder,일반명사
midnight,일반명사
dial,일반명사
Dudley,인물
watch,일반명사
edge,일반명사
sofa,일반명사
wrist,일반명사
Harry,인물
minutes,일반명사
time,일반명사
birthday,일반명사
tick,일반명사
nearer,일반명사
Dursleys,기관/단체
letter,일반명사
writer,일반명사
minutes,일반명사
Harry,인물
something,일반명사
creak,일반명사
roof,일반명사
wasn,일반명사
minutes,일반명사
house,일반명사
Privet,지명(국가/도시)
Drive,일반명사
letters,일반명사
somehow,일반명사
minutes,일반명사
Was,일반명사
sea,일반명사
rock,일반명사
minutes,일반명사
noise,일반명사
rock,일반명사
sea,일반명사
minute,일반명사
Thirty,일반명사
seconds,일반명사
twenty,일반명사
ten,일반명사
wake,일반명사
Dudley,인물
BOOM,일반명사
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
shack,일반명사
Harry,인물
bolt,일반명사
upright,일반명사
door,일반명사
Someone,인물
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
THE,기관/단체
KEEPER OF,기관/단체
THE,기관/단체
KEYS,기관/단체
BOOM,일반명사
Dudley,인물
awake,일반명사
cannon,일반명사
crash,일반명사
Uncle Vernon,인물
room,일반명사
rifle,일반명사
hands,일반명사
package,일반명사
pause,일반명사
SMASH,기관/단체
door,일반명사
force,일반명사
hinges,일반명사
crash,일반명사
floor,일반명사
giant,일반명사
man,일반명사
doorway,일반명사
face,일반명사
mane,일반명사
hair,일반명사
beard,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
eyes,일반명사
beetles,일반명사
hair,일반명사
way,일반명사
hut,일반명사
head,일반명사
ceiling,일반명사
door,일반명사
frame,일반명사
noise,일반명사
storm,일반명사
Couldn,인물
cup,일반명사
tea,일반명사
journey,일반명사
sofa,일반명사
Dudley,인물
fear,일반명사
Budge,일반명사
lump,일반명사
stranger,일반명사
Dudley,인물
mother,일반명사
Uncle Vernon,인물
Harry,인물
giant,일반명사
Harry,인물
fierce,일반명사
face,일반명사
eyes,일반명사
smile,일반명사
Las,인물
time,일반명사
baby,일반명사
giant,일반명사
Yeh,일반명사
lot,일반명사
yer,일반명사
dad,일반명사
ve,일반명사
mom,일반명사
Uncle,일반명사
Vernon,인물
rasping,일반명사
noise,일반명사
sir,일반명사
Ah,일반명사
Dursley,인물
prune,일반명사
giant,일반명사
back,일반명사
sofa,일반명사
gun,일반명사
Uncle Vernon,인물
hands,일반명사
bent,일반명사
knot,일반명사
rubber,일반명사
corner,일반명사
room,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Uncle,일반명사
Vernon,인물
noise,일반명사
mouse,일반명사
Anyway,인물
Harry,인물
giant,일반명사
back,일반명사
Dursleys,기관/단체
birthday,일반명사
Got,일반명사
fer,일반명사
yeh,일반명사
point,일반명사
taste,일반명사
pocket,일반명사
overcoat,일반명사
box,일반명사
Harry,인물
fingers,일반명사
Inside,인물
chocolate,일반명사
cake,일반명사
Happy,인물
Birthday,일반명사
Harry,인물
icing,일반명사
Harry,인물
giant,일반명사
thank,일반명사
words,일반명사
way,일반명사
mouth,일반명사
giant,일반명사
True,인물
Rubeus Hagrid,인물
Keeper,인물
Keys,지명(국가/도시)
Grounds,인물
hand,일반명사
shook,일반명사
Harry,인물
arm,일반명사
tea,일반명사
hands,일반명사
ter,일반명사
ve,일반명사
eyes,일반명사
grate,일반명사
chip,일반명사
bags,일반명사
fireplace,일반명사
roaring,일반명사
fire,일반명사
damp,일반명사
hut,일반명사
light,일반명사
Harry,인물
warmth,일반명사
wash,일반명사
sunk,일반명사
bath,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
sofa,일반명사
weight,일반명사
sorts,일반명사
things,일반명사
pockets,일반명사
coat,일반명사
copper,일반명사
kettle,일반명사
package,일반명사
sausages,일반명사
poker,일반명사
teapot,일반명사
mugs,일반명사
bottle,일반명사
amber,일반명사
liquid,일반명사
swig,일반명사
tea,일반명사
hut,일반명사
sound,일반명사
smell,일반명사
sausage,일반명사
Nobody,인물
thing,일반명사
giant,일반명사
fat,일반명사
juicy,일반명사
sausages,일반명사
poker,일반명사
Dudley,인물
Uncle Vernon,인물
Don,일반명사
anything,일반명사
giant,일반명사
Yer,일반명사
son,일반명사
don,일반명사
Dursley,인물
don,일반명사
sausages,일반명사
Harry,인물
anything,일반명사
eyes,일반명사
giant,일반명사
nobody,일반명사
anything,일반명사
sorry,일반명사
gulp,일반명사
tea,일반명사
mouth,일반명사
back,일반명사
hand,일반명사
Hagrid,지명(국가/도시)
everyone,일반명사
yeh,일반명사
Keeper,일반명사
Keys,지명(국가/도시)
Hogwarts,기관/단체
yeh,일반명사
ll,일반명사
Hogwarts,인물
Er,일반명사
Harry,인물
Hagrid,인물
Sorry,인물
Harry,인물
Sorry,인물
Hagrid,지명(국가/도시)
Dursleys,기관/단체
shadows,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
weren,일반명사
gettin,일반명사
yer,일반명사
letters,일반명사
Hogwarts,일반명사
cryin,일반명사
Did,일반명사
yer,일반명사
parents,일반명사
Harry,인물
ALL,기관/단체
WHAT,일반명사
Hagrid,인물
jus,일반명사
second,일반명사
feet,일반명사
anger,일반명사
hut,일반명사
Dursleys,기관/단체
wall,일반명사
Do,일반명사
ter,일반명사
Dursleys,기관/단체
boy,일반명사
boy,일반명사
abou,일반명사
ANYTHING,일반명사
Harry,인물
bit,일반명사
school,일반명사
marks,일반명사
things,일반명사
math,일반명사
Hagrid,인물
hand,일반명사
world,일반명사
world,일반명사
world,일반명사
parents,일반명사
world,일반명사
Hagrid,인물
DURSLEY,기관/단체
Uncle Vernon,인물
something,일반명사
Hagrid,인물
Harry,기관/단체
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
mom,일반명사
dad,일반명사
mom,일반명사
dad,일반명사
weren,일반명사
Yeh,일반명사
don,일반명사
Hagrid,인물
fingers,일반명사
hair,일반명사
Harry,인물
stare,일반명사
Yeh,일반명사
yeh,일반명사
Uncle Vernon,인물
voice,일반명사
Stop,일반명사
Stop,일반명사
right,일반명사
sir,일반명사
boy,일반명사
anything,일반명사
braver,일반명사
man,일반명사
Vernon Dursley,인물
look,일반명사
Hagrid,인물
Hagrid,인물
syllable,일반명사
rage,일반명사
Never,인물
letter,일반명사
Dumbledore,인물
fer,일반명사
Dumbledore,기관/단체
Dursley,인물
years,일반명사
Harry,인물
STOP,일반명사
Uncle Vernon,인물
panic,일반명사
Aunt Petunia,인물
gasp,일반명사
horror,일반명사
Ah,일반명사
boil,일반명사
yer,일반명사
heads,일반명사
yeh,일반명사
Hagrid,인물
Harry,인물
silence,일반명사
hut,일반명사
sea,일반명사
whistling,일반명사
wind,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Harry,인물
wizard,일반명사
course,일반명사
Hagrid,인물
sofa,일반명사
thumpin,일반명사
un,일반명사
ve,일반명사
bit,일반명사
mum,일반명사
dad,일반명사
yours,일반명사
time,일반명사
yeh,일반명사
yer,일반명사
Harry,인물
hand,일반명사
envelope,일반명사
emerald,일반명사
green,일반명사
Mr. H. Potter,인물
Floor,지명(국가/도시)
Sea,기관/단체
letter,일반명사
read,일반명사
HOGWARTS,기관/단체
SCHOOL,기관/단체
WIZARDRY,기관/단체
Headmaster,일반명사
ALBUS DUMBLEDORE,인물
Order,기관/단체
Merlin,지명(국가/도시)
First Class,인물
Grand Sore.,인물
Chf,인물
Warlock,인물
Supreme Mugwump,인물
International Confed,기관/단체
Wizards,지명(국가/도시)
Mr. Potter,인물
Hogwarts School,기관/단체
Witchcraft,기관/단체
Wizardry,지명(국가/도시)
Please,일반명사
list,일반명사
books,일반명사
equipment,일반명사
Term,인물
September,일반명사
owl,일반명사
July,일반명사
Yours,일반명사
Minerva McGonagall,인물
Deputy Headmistress Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Questions,일반명사
Harry,인물
head,일반명사
fireworks,일반명사
minutes,일반명사
owl,일반명사
Gallopin,인물
Gorgons,인물
Hagrid,인물
hand,일반명사
forehead,일반명사
force,일반명사
horse,일반명사
pocket,일반명사
overcoat,일반명사
owl,일반명사
owl,일반명사
quill,일반명사
roll,일반명사
parchment,일반명사
tongue,일반명사
teeth,일반명사
note,일반명사
Harry,인물
Dear,일반명사
Professor,일반명사
Dumbledore,일반명사
Given Harry,인물
letter,일반명사
things,일반명사
tomorrow,일반명사
Hagrid Hagrid,인물
note,일반명사
owl,일반명사
beak,일반명사
door,일반명사
owl,일반명사
storm,일반명사
telephone,일반명사
Harry,인물
mouth,일반명사
Where,인물
Hagrid,인물
moment,일반명사
Uncle Vernon,인물
firelight,일반명사
Hagrid,인물
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
ter,일반명사
Muggle,일반명사
Harry,인물
Muggle,지명(국가/도시)
Hagrid,인물
folk,일반명사
luck,일반명사
family,일반명사
Muggles,일반명사
eyes,일반명사
stop,일반명사
rubbish,일반명사
Uncle Vernon,인물
swore,일반명사
stamp,일반명사
Wizard,인물
Harry,인물
wizard,일반명사
Knew,일반명사
Aunt Petunia,인물
course,일반명사
sister,일반명사
letter,일반명사
school,일반명사
home,일반명사
vacation,일반명사
pockets,일반명사
spawn,일반명사
teacups,일반명사
rats,일반명사
one,일반명사
freak,일반명사
mother,일반명사
father,일반명사
Lily,기관/단체
proud,일반명사
witch,일반명사
family,일반명사
breath,일반명사
years,일반명사
Potter,인물
school,일반명사
course,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Harry,인물
voice,일반명사
Blown,인물
car,일반명사
crash,일반명사
CAR,기관/단체
CRASH,기관/단체
Hagrid,지명(국가/도시)
Dursleys,기관/단체
corner,일반명사
How,인물
car,일반명사
crash,일반명사
Lily,인물
James Potter,인물
outrage,일반명사
scandal,일반명사
Harry Potter,인물
story,일반명사
kid,일반명사
world,일반명사
name,일반명사
Harry,인물
anger,일반명사
Hagrid,인물
face,일반명사
voice,일반명사
idea,일반명사
Dumbledore,인물
trouble,일반명사
gettin,일반명사
hold,일반명사
yeh,일반명사
yeh,일반명사
didn,일반명사
Ah,일반명사
Harry,인물
person,일반명사
someone,일반명사
yeh,일반명사
ter,일반명사
Hogwarts,일반명사
look,일반명사
Dursleys,기관/단체
Well,일반명사
mind,일반명사
tell,일반명사
myst,일반명사
ry,일반명사
parts,일반명사
fire,일반명사
seconds,일반명사
person,일반명사
yeh,일반명사
don,일반명사
name,일반명사
everyone,일반명사
world,일반명사
Well,일반명사
sayin,일반명사
name,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Gulpin,일반명사
gargoyles,일반명사
Harry,인물
people,일반명사
Blimey,인물
wizard,일반명사
Worse,인물
name,일반명사
Hagrid,인물
words,일반명사
Could,일반명사
Harry,인물
Nah,인물
Hagrid,인물
Don,인물
wizard,일반명사
years,일반명사
fer,일반명사
followers,일반명사
Got,인물
em,일반명사
bit,일반명사
power,일반명사
cause,일반명사
power,일반명사
right,일반명사
Dark,인물
days,일반명사
Harry,인물
Didn,인물
trust,일반명사
didn,일반명사
dare,일반명사
wizards,일반명사
witches,일반명사
things,일반명사
Course,일반명사
em,일반명사
places,일반명사
Hogwarts,인물
Reckon Dumbledore,인물
Didn,인물
dare,일반명사
school,일반명사
dad,일반명사
witch,일반명사
wizard,일반명사
Head,인물
girl,일반명사
Hogwarts,기관/단체
day,일반명사
myst,일반명사
ry,일반명사
em,일반명사
side,일반명사
ter,일반명사
Dumbledore,기관/단체
ter,일반명사
ter,일반명사
Dark Side,기관/단체
em,일반명사
em,일반명사
way,일반명사
anyone,일반명사
village,일반명사
living,일반명사
Halloween,일반명사
years,일반명사
year,일반명사
yer,일반명사
house,일반명사
Hagrid,일반명사
handkerchief,일반명사
nose,일반명사
sound,일반명사
foghorn,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Sorry,인물
yer,일반명사
dad,일반명사
nicer,일반명사
people,일반명사
em,일반명사
myst,일반명사
ry,일반명사
thing,일반명사
ter,일반명사
job,일반명사
mark,일반명사
yer,일반명사
forehead,일반명사
cut,일반명사
curse,일반명사
touches,일반명사
care,일반명사
yer,일반명사
mum,일반명사
dad,일반명사
yer,일반명사
house,일반명사
work,일반명사
Harry,인물
one,일반명사
ter,일반명사
kill,일반명사
em,일반명사
one,일반명사
witches,일반명사
wizards,일반명사
age,일반명사
McKinnons,기관/단체
Bones,일반명사
Prewetts,일반명사
baby,일반명사
Something,일반명사
Harry,인물
mind,일반명사
Hagrid,인물
story,일반명사
close,일반명사
blinding,일반명사
flash,일반명사
light,일반명사
something,일반명사
time,일반명사
life,일반명사
laugh,일반명사
Hagrid,인물
Took,인물
yeh,일반명사
house,일반명사
Dumbledore,기관/단체
orders,일반명사
Brought,인물
ter,일반명사
lot,일반명사
Load,일반명사
tosh,일반명사
Uncle Vernon,인물
Harry,인물
Dursleys,기관/단체
Uncle Vernon,인물
courage,일반명사
Hagrid,기관/단체
fists,일반명사
something,일반명사
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
nothing,일반명사
beating,일반명사
wouldn,일반명사
parents,일반명사
weirdos,일반명사
world,일반명사
opinion,일반명사
types,일반명사
end,일반명사
moment,일반명사
Hagrid,지명(국가/도시)
leapt,일반명사
sofa,일반명사
pink,일반명사
umbrella,일반명사
coat,일반명사
Uncle Vernon,기관/단체
sword,일반명사
warning,일반명사
Dursley,인물
warning,일반명사
word,일반명사
danger,일반명사
end,일반명사
umbrella,일반명사
giant,일반명사
Uncle Vernon,인물
courage,일반명사
wall,일반명사
silent,일반명사
Hagrid,인물
sofa,일반명사
time,일반명사
floor,일반명사
Harry,인물
questions,일반명사
hundreds,일반명사
Good,일반명사
question,일반명사
Harry,인물
Disappeared,일반명사
Vanished,인물
Same,인물
night,일반명사
ter,일반명사
kill,일반명사
Makes,일반명사
myst,일반명사
ry,일반명사
Codswallop,인물
opinion,일반명사
bidin,일반명사
time,일반명사
People,일반명사
side,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
em,일반명사
kinda,일반명사
trances,일반명사
Don,인물
reckon,일반명사
powers,일반명사
Too,일반명사
Cause,인물
Harry,인물
goin,일반명사
night,일반명사
one,일반명사
Hagrid,인물
Harry,기관/단체
warmth,일반명사
respect,일반명사
blazing,일반명사
eyes,일반명사
Harry,인물
mistake,일반명사
wizard,일반명사
Him,일반명사
life,일반명사
Dudley,인물
Aunt Petunia,인물
Uncle Vernon,인물
wizard,일반명사
hadn,일반명사
toads,일반명사
time,일반명사
cupboard,일반명사
sorcerer,일반명사
world,일반명사
Dudley,인물
football,일반명사
Hagrid,지명(국가/도시)
mistake,일반명사
surprise,일반명사
Hagrid,인물
wizard,일반명사
things,일반명사
Harry,인물
fire,일반명사
thing,일반명사
aunt,일반명사
uncle,일반명사
Harry,인물
Dudley,인물
gang,일반명사
reach,일반명사
school,일반명사
haircut,일반명사
time,일반명사
Dudley,인물
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
hadn,일반명사
revenge,일반명사
Hadn,인물
boa,일반명사
constrictor,일반명사
Harry,인물
Hagrid,지명(국가/도시)
Hagrid,인물
See,인물
Hagrid,인물
Harry Potter,인물
wizard,일반명사
Uncle Vernon,인물
fight,일반명사
Haven,인물
Stonewall High,인물
letters,일반명사
sorts,일반명사
spell,일반명사
books,일반명사
wands,일반명사
ter,일반명사
Muggle,일반명사
stop,일반명사
Hagrid,지명(국가/도시)
Stop Lily,인물
James Potter,인물
son,일반명사
goin,일반명사
ter,일반명사
Hogwarts,인물
Yer,일반명사
mad,일반명사
name,일반명사
ter,일반명사
school,일반명사
witchcraft,일반명사
wizardry,일반명사
world,일반명사
years,일반명사
youngsters,일반명사
sort,일반명사
change,일반명사
headmaster,일반명사
Hogwarts,인물
Albus Dumbled,인물
NOT,기관/단체
PAYING,일반명사
FOR,일반명사
SOME,일반명사
CRACKPOT,일반명사
OLD,일반명사
FOOL,일반명사
TO,일반명사
TEACH,일반명사
HIM,일반명사
MAGIC,기관/단체
TRICKS,일반명사
Uncle Vernon,인물
Hagrid,인물
umbrella,일반명사
head,일반명사
NEVER,일반명사
INSULT,일반명사
ALBUS,기관/단체
DUMBLEDORE,기관/단체
IN,일반명사
FRONT,일반명사
OF,일반명사
ME,일반명사
umbrella,일반명사
air,일반명사
Dudley,기관/단체
flash,일반명사
violet,일반명사
light,일반명사
sound,일반명사
firecracker,일반명사
squeal,일반명사
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
second,일반명사
Dudley,인물
spot,일반명사
hands,일반명사
bottom,일반명사
pain,일반명사
back,일반명사
Harry,인물
pig,일반명사
tail,일반명사
hole,일반명사
trousers,일반명사
Uncle Vernon,인물
Aunt Petunia,인물
Dudley,인물
room,일반명사
look,일반명사
Hagrid,기관/단체
door,일반명사
Hagrid,인물
umbrella,일반명사
beard,일반명사
Shouldn,인물
ta,일반명사
work,일반명사
Meant,일반명사
ter,일반명사
pig,일반명사
pig,일반명사
look,일반명사
Harry,기관/단체
eyebrows,일반명사
Be,일반명사
didn,일반명사
mention,일반명사
ter,일반명사
anyone,일반명사
Hogwarts,기관/단체
er,일반명사
ter,일반명사
magic,일반명사
bit,일반명사
get,일반명사
yer,일반명사
letters,일반명사
stuff,일반명사
reasons,일반명사
ter,일반명사
job,일반명사
Harry,인물
Hogwarts,기관/단체
meself,일반명사
truth,일반명사
year,일반명사
everything,일반명사
Dumbledore,인물
gamekeeper,일반명사
Great,지명(국가/도시)
man,일반명사
gettin,일반명사
lots,일반명사
tomorrow,일반명사
Hagrid,인물
Got,일반명사
ta,일반명사
ter,일반명사
town,일반명사
yer,일반명사
books,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
coat,일반명사
Harry,인물
Don,인물
mind,일반명사
bit,일반명사
couple,일반명사
dormice,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
DIAGON,기관/단체
ALLY,일반명사
Harry,인물
morning,일반명사
eyes,일반명사
dream,일반명사
giant,일반명사
Hagrid,인물
school,일반명사
wizards,일반명사
eyes,일반명사
home,일반명사
tapping,일반명사
noise,일반명사
Aunt Petunia,인물
door,일반명사
Harry,인물
heart,일반명사
sinking,일반명사
eyes,일반명사
dream,일반명사
Tap,일반명사
Tap,일반명사
Tap,일반명사
right,일반명사
Harry,인물
Hagrid,인물
coat,일반명사
hut,일반명사
sunlight,일반명사
storm,일반명사
Hagrid,인물
sofa,일반명사
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
owl,일반명사
claw,일반명사
window,일반명사
newspaper,일반명사
beak,일반명사
Harry,인물
feet,일반명사
balloon,일반명사
window,일반명사
owl,일반명사
newspaper,일반명사
top,일반명사
Hagrid,지명(국가/도시)
owl,일반명사
floor,일반명사
Hagrid,인물
coat,일반명사
Don,인물
Harry,인물
owl,일반명사
way,일반명사
beak,일반명사
